step,hour_of_day,source_flow_Ls,leak_active,leak_node,pressure_15,pressure_35,pressure_101,pressure_105,pressure_113,pressure_201
0,0.0,830.93756,1,105,28.490726,40.35128,31.2868,35.805466,43.664097,41.80178
1,0.25,830.7266,1,105,28.525532,40.339756,31.285666,35.808372,43.659275,41.77064
2,0.5,830.5192,1,105,28.559603,40.328777,31.28242,35.807693,43.653645,41.74034
3,0.75,830.31256,1,105,28.59328,40.318756,31.279926,35.807686,43.64887,41.711227
4,1.0,826.4839,1,105,28.595415,40.757397,39.438354,40.684425,46.34422,41.826458
5,1.25,826.0814,1,105,28.657778,40.802658,39.48086,40.734287,46.392128,41.842445
6,1.5,825.6805,1,105,28.719791,40.847954,39.523342,40.784073,46.44007,41.859943
7,1.75,825.2808,1,105,28.781479,40.893322,39.56577,40.83377,46.48802,41.879
8,2.0,821.7411,1,105,29.604563,41.478508,40.97303,41.976414,47.428104,42.538414
9,2.25,821.2003,1,105,29.68656,41.553963,41.033726,42.046368,47.501205,42.597183
10,2.5,820.6599,1,105,29.768387,41.62961,41.094444,42.116325,47.57439,42.65722
11,2.75,820.1201,1,105,29.850039,41.705418,41.15519,42.186287,47.647663,42.718452
12,3.0,819.5724,1,105,29.947924,41.763287,41.252754,42.28067,47.728493,42.720764
13,3.25,819.0357,1,105,30.02897,41.83849,41.313053,42.350132,47.801266,42.782864
14,3.5,818.49994,1,105,30.109798,41.91373,41.37331,42.41953,47.874023,42.845848
15,3.75,817.9646,1,105,30.190453,41.989124,41.43359,42.48893,47.94686,42.90995
16,4.0,812.0887,1,105,31.366526,42.983864,43.639687,44.370506,49.487286,44.081997
17,4.25,811.33203,1,105,31.477974,43.103065,43.72595,44.46967,49.59635,44.200912
18,4.5,810.5773,1,105,31.589127,43.2217,43.811897,44.568485,49.704983,44.31927
19,4.75,809.82446,1,105,31.699984,43.339783,43.897533,44.666946,49.813187,44.437096
20,5.0,816.3512,1,105,37.057987,42.81656,43.03716,43.815784,49.071342,43.868427
21,5.25,815.76917,1,105,37.14392,42.90635,43.103554,43.892063,49.15452,43.956768
22,5.5,815.18866,1,105,37.229614,42.995728,43.169716,43.968082,49.237377,44.044773
23,5.75,486.64066,1,105,36.199055,42.281017,42.221306,42.83675,48.188835,43.38341
24,6.0,482.36435,1,105,36.340576,42.397057,42.48907,43.08181,48.382412,43.524002
25,6.25,482.3419,1,105,36.343433,42.42237,42.49719,43.090195,48.396057,43.55254
26,6.5,482.30698,1,105,36.346973,42.447044,42.505505,43.09888,48.409744,43.58041
27,6.75,482.2608,1,105,36.35114,42.471085,42.513992,43.107815,48.42344,43.60763
28,7.0,482.34747,1,105,39.78322,42.402477,41.991066,42.71245,48.179775,43.4569
29,7.25,482.32602,1,105,39.7854,42.410576,41.994114,42.715626,48.184605,43.466125
30,7.5,482.3017,1,105,39.787617,42.418297,41.997147,42.71882,48.189335,43.47498
31,7.75,482.27505,1,105,39.789932,42.425636,42.000145,42.72199,48.193928,43.483448
32,8.0,482.0291,1,105,39.83151,42.46438,42.272472,42.932877,48.3276,43.532608
33,8.25,481.92126,1,105,39.83941,42.48024,42.280483,42.941704,48.33891,43.55026
34,8.5,481.811,1,105,39.84741,42.495617,42.288433,42.95049,48.350037,43.56741
35,8.75,481.69864,1,105,39.855488,42.510567,42.29632,42.959232,48.361008,43.58411
36,9.0,489.1037,1,105,39.60507,42.432938,41.81695,42.5272,48.062527,43.471504
37,9.25,489.63406,1,105,39.57041,42.407402,41.792713,42.498894,48.034103,43.450554
38,9.5,490.16025,1,105,39.53598,42.38155,41.768494,42.470642,48.00562,43.429043
39,9.75,490.68234,1,105,39.501774,42.355408,41.74431,42.442455,47.97707,43.407013
40,10.0,490.90488,1,105,39.486893,42.343296,41.778503,42.463074,47.983173,43.436085
41,10.25,491.39447,1,105,39.45488,42.319603,41.756077,42.436897,47.95683,43.41674
42,10.5,491.88004,1,105,39.42308,42.295616,41.733677,42.41078,47.93044,43.39687
43,10.75,492.36145,1,105,39.391502,42.271378,41.711315,42.38473,47.90402,43.376522
44,11.0,494.49225,1,105,35.645267,42.16397,41.34793,42.065098,47.669987,43.240444
45,11.25,495.1192,1,105,35.60275,42.125595,41.31651,42.028873,47.631813,43.203754
46,11.5,495.7418,1,105,35.5605,42.08723,41.285213,41.992798,47.593754,43.166977
47,11.75,496.36,1,105,35.518517,42.048885,41.254036,41.956875,47.55581,43.130123
48,12.0,496.6821,1,105,35.511837,42.046307,41.311405,41.99427,47.574276,43.184242
49,12.25,497.2584,1,105,35.472675,42.0127,41.283024,41.961456,47.54005,43.153156
50,12.5,497.83054,1,105,35.433777,41.979023,41.25474,41.928764,47.505886,43.121857
51,12.75,498.39844,1,105,35.395134,41.945293,41.22656,41.89621,47.471798,43.090366
52,13.0,498.3766,1,105,35.438175,41.98362,41.42147,42.045464,47.567245,43.14443
53,13.25,498.86032,1,105,35.405354,41.961292,41.39949,42.019775,47.5416,43.124958
54,13.5,499.34055,1,105,35.37277,41.93847,41.377457,41.99406,47.515778,43.104897
55,13.75,499.81717,1,105,35.340412,41.91516,41.35538,41.96832,47.489796,43.084263
56,14.0,499.64966,1,105,35.4128,41.948307,41.651596,42.19868,47.628975,43.190132
57,14.25,499.99335,1,105,35.389904,41.949425,41.641045,42.18564,47.61941,43.192677
58,14.5,500.33545,1,105,35.367115,41.948494,41.629944,42.172043,47.60885,43.19349
59,14.75,500.67966,1,105,35.344162,41.94442,41.617855,42.157425,47.59663,43.191704
60,15.0,511.42377,1,105,34.682682,41.08863,32.369553,36.735706,44.57331,42.518948
61,15.25,512.4424,1,105,34.61127,41.01367,32.295963,36.66248,44.49944,42.451004
62,15.5,513.45685,1,105,34.540043,40.938828,32.22252,36.58936,44.42573,42.382572
63,15.75,514.4669,1,105,34.469017,40.864113,32.149227,36.516403,44.352173,42.31372
64,16.0,829.45575,1,105,38.955322,41.538754,33.081104,37.490345,45.23211,42.866127
65,16.25,829.2259,1,105,38.98768,41.535877,33.089478,37.50095,45.238705,42.86863
66,16.5,828.9979,1,105,39.01947,41.533516,33.098194,37.511856,45.245686,42.87133
67,16.75,828.7719,1,105,39.051014,41.53167,33.107235,37.52303,45.253033,42.87423
68,17.0,828.4051,1,105,39.108936,41.536,33.201553,37.61664,45.326305,42.891605
69,17.25,828.15125,1,105,39.14526,41.547424,33.221287,37.63796,45.34481,42.90578
70,17.5,827.8922,1,105,39.18245,41.562458,33.243694,37.66177,45.366123,42.922646
71,17.75,827.62964,1,105,39.22024,41.580315,33.26817,37.68751,45.389618,42.94164
72,18.0,827.0603,1,105,39.326714,41.665905,33.505177,37.91946,45.593407,43.06355
73,18.25,826.7489,1,105,39.372288,41.702557,33.5448,37.959633,45.632614,43.100803
74,18.5,826.4376,1,105,39.417847,41.73982,33.584805,38.000145,45.672237,43.138504
75,18.75,826.1267,1,105,39.46336,41.777626,33.62515,38.040955,45.712223,43.1766
76,19.0,825.7699,1,105,39.511192,41.811672,33.665134,38.081814,45.75153,43.225323
77,19.25,825.4595,1,105,39.55662,41.850018,33.705807,38.122913,45.791874,43.263954
78,19.5,825.1496,1,105,39.60198,41.888763,33.74671,38.164215,45.832474,43.302876
79,19.75,824.84,1,105,39.647285,41.927914,33.787853,38.205727,45.87333,43.342094
80,20.0,825.2236,1,105,39.553375,41.859108,33.40585,37.838177,45.566444,43.256733
81,20.25,824.99243,1,105,39.586227,41.875378,33.427326,37.86071,45.587082,43.271133
82,20.5,824.76074,1,105,39.619244,41.89312,33.449856,37.884212,45.608837,43.28689
83,20.75,824.5286,1,105,39.652378,41.912132,33.473286,37.90854,45.631554,43.303844
84,21.0,824.5152,1,105,39.629063,41.898766,33.29603,37.743923,45.500126,43.24313
85,21.25,824.3376,1,105,39.65305,41.897633,33.302456,37.75194,45.505295,43.240433
86,21.5,824.15753,1,105,39.677567,41.899406,33.31107,37.76199,45.51277,43.240173
87,21.75,823.9748,1,105,39.702652,41.904144,33.321915,37.774124,45.522594,43.242413
88,22.0,825.00604,1,105,35.94318,41.69641,32.73189,37.229595,45.055927,42.93921
89,22.25,824.9519,1,105,35.94942,41.67028,32.71245,37.21222,45.03486,42.906075
90,22.5,824.9002,1,105,35.95527,41.645084,32.69371,37.19547,45.01458,42.87425
91,22.75,824.85114,1,105,35.96073,41.62079,32.67564,37.179302,44.995052,42.84365
92,23.0,825.4083,1,105,35.59807,41.215107,31.733873,36.33031,44.335014,42.335075
93,23.25,825.4763,1,105,35.584076,41.166683,31.69251,36.291306,44.290955,42.274933
94,23.5,825.5497,1,105,35.569344,41.11895,31.651575,36.252632,44.24743,42.21617
95,23.75,825.6281,1,105,35.553913,41.07192,31.611046,36.21429,44.20443,42.15875
96,0.0,820.3266,1,105,30.089348,41.42667,32.450623,36.999935,44.80103,42.587982
97,0.25,820.151,1,105,30.115974,41.422234,32.45235,37.003456,44.80128,42.57773
98,0.5,806.1729,1,105,32.121315,42.211403,33.513687,38.134865,45.813435,43.28816
