step,hour_of_day,source_flow_Ls,leak_active,leak_node,pressure_15,pressure_35,pressure_101,pressure_105,pressure_113,pressure_201
0,0.0,832.648,1,201,28.264065,39.681633,30.675856,35.221786,43.02935,40.160347
1,0.25,832.53674,1,201,28.282907,39.63991,30.64723,35.19815,42.996662,40.098286
2,0.5,832.43274,1,201,28.300396,39.597088,30.615051,35.169563,42.96155,40.034973
3,0.75,832.3319,1,201,28.31711,39.554462,30.582993,35.141045,42.926666,39.971542
4,1.0,828.7663,1,201,28.304909,40.02704,39.02697,40.25049,45.763954,40.033134
5,1.25,828.525,1,201,28.344875,40.021507,39.04237,40.271503,45.774254,39.99964
6,1.5,828.28534,1,201,28.384346,40.016575,39.057846,40.292557,45.784794,39.96705
7,1.75,828.0474,1,201,28.42332,40.012203,39.073402,40.31364,45.79556,39.935276
8,2.0,825.51086,1,201,29.135246,40.317295,40.33795,41.29171,46.536293,40.408936
9,2.25,825.1203,1,201,29.195845,40.35767,40.37719,41.338028,46.58077,40.418236
10,2.5,824.73157,1,201,29.25605,40.39803,40.41632,41.3842,46.62517,40.428997
11,2.75,824.345,1,201,29.315832,40.438286,40.45529,41.430172,46.669437,40.44096
12,3.0,823.9315,1,201,29.394182,40.467262,40.535572,41.50498,46.727016,40.398945
13,3.25,823.5499,1,201,29.453074,40.50668,40.573956,41.550274,46.77062,40.41257
14,3.5,823.17035,1,201,29.511578,40.546055,40.612213,41.595398,46.814117,40.427475
15,3.75,822.7927,1,201,29.569693,40.585407,40.650345,41.640358,46.85753,40.44363
16,4.0,818.2606,1,201,30.615799,41.29077,42.707207,43.335754,48.186817,41.28337
17,4.25,817.66724,1,201,30.70433,41.379765,42.77371,43.41253,48.270073,41.367756
18,4.5,817.0758,1,201,30.792542,41.468338,42.83993,43.488983,48.352962,41.451885
19,4.75,816.48596,1,201,30.880466,41.556534,42.905933,43.565186,48.43556,41.535797
20,5.0,822.18445,1,201,36.30098,41.180714,42.139977,42.825897,47.818527,41.123554
21,5.25,821.76654,1,201,36.36331,41.23836,42.18578,42.878963,47.87468,41.17461
22,5.5,821.35016,1,201,36.4254,41.295856,42.231438,42.93186,47.93067,41.22588
23,5.75,820.93524,1,201,36.48722,41.353195,42.27695,42.98459,47.986492,41.277336
24,6.0,814.29626,1,201,37.042694,41.80664,42.9261,43.68129,48.61463,41.70259
25,6.25,813.716,1,201,37.129395,41.89066,42.990585,43.755825,48.69456,41.781578
26,6.5,813.13776,1,201,37.215763,41.97434,43.05482,43.830082,48.774193,41.860424
27,6.75,812.56116,1,201,37.301823,42.057735,43.118866,43.90411,48.85356,41.939163
28,7.0,767.2688,1,201,47.167763,45.737717,46.887554,48.664215,53.335995,45.13883
29,7.25,766.3396,1,201,47.299377,45.89307,46.99595,48.787773,53.472797,45.289383
