step,hour_of_day,source_flow_Ls,leak_active,leak_node,pressure_15,pressure_35,pressure_101,pressure_105,pressure_113,pressure_201
0,0.0,830.6063,0,,28.534115,40.504333,31.140596,35.48929,43.701603,42.572742
1,0.25,830.29474,0,,28.582363,40.531376,31.170486,35.520084,43.730167,42.57863
2,0.5,829.9848,0,,28.630264,40.558548,31.200489,35.550964,43.75886,42.586308
3,0.75,829.6761,0,,28.677856,40.58595,31.230677,35.58201,43.78779,42.595787
4,1.0,825.1583,0,,28.757366,41.358517,39.3923,40.418896,46.66088,43.076984
5,1.25,824.6808,0,,28.830168,41.422997,39.44593,40.480904,46.723766,43.12099
6,1.5,824.2039,0,,28.902773,41.487648,39.49959,40.542923,46.78675,43.166252
7,1.75,823.7277,0,,28.975174,41.55241,39.55325,40.60491,46.849796,43.212654
8,2.0,819.7585,0,,29.842472,42.23206,40.95355,41.70498,47.840847,43.95628
9,2.25,819.12506,0,,29.936935,42.329136,41.02819,41.790665,47.932064,44.04575
10,2.5,818.49274,0,,30.031193,42.42603,41.10265,41.876186,48.0229,44.135487
11,2.75,817.8613,0,,30.125242,42.5227,41.17696,41.961544,48.11355,44.22542
12,3.0,817.2379,0,,30.233776,42.59707,41.281708,42.062794,48.206184,44.25359
13,3.25,816.6105,0,,30.327198,42.692707,41.355362,42.14744,48.29602,44.343163
14,3.5,815.9843,0,,30.420374,42.78806,41.428833,42.231873,48.385616,44.432785
15,3.75,815.3596,0,,30.513304,42.883106,41.50211,42.316086,48.474968,44.522423
16,4.0,808.7316,0,,31.758049,44.023087,43.68656,44.13183,50.07154,45.850216
17,4.25,807.88806,0,,31.88142,44.157906,43.78445,44.244705,50.194767,45.98636
18,4.5,485.7143,0,,30.309963,42.688843,42.174606,42.34017,48.343056,44.58111
19,4.75,485.4589,0,,30.327059,42.732975,42.19532,42.363155,48.372784,44.629074
20,5.0,489.40225,0,,36.029335,42.598534,41.747746,42.003086,48.110535,44.429005
